tv_name,weekday,timeslot,number_of_tickets,Date
StellarWave A9,Friday,8-12,1,1937-09-17
StellarWave A9,Saturday,12-16,68,1937-09-11
StellarWave A9,Tuesday,0-8,2,1937-09-07
StellarWave A9,Friday,12-16,80,1937-09-03
StellarWave A9,Tuesday,0-8,1,1937-08-31
StellarWave A9,Thursday,20-24,239,1937-08-26
StellarWave A9,Wednesday,8-12,0,1937-08-25
Luminor Arc 65,Sunday,20-24,0,1937-08-22
StellarWave A9,Wednesday,8-12,1,1937-08-18
StellarWave A9,Friday,8-12,3,1937-08-13
StellarWave A9,Thursday,8-12,0,1937-08-12
Luminor Arc 65,Saturday,20-24,0,1937-08-07
StellarWave A9,Sunday,20-24,0,1937-08-01
StellarWave A9,Thursday,20-24,241,1937-07-29
Luminor Arc 65,Friday,0-8,2,1937-07-23
Luminor Arc 65,Thursday,8-12,269,1937-07-22
StellarWave A9,Friday,0-8,2,1937-07-16
Luminor Arc 65,Friday,16-20,0,1937-07-09
StellarWave A9,Friday,0-8,1,1937-07-02
Luminor Arc 65,Friday,0-8,2,1937-06-25
StellarWave A9,Tuesday,12-16,76,1937-06-22
Luminor Arc 65,Wednesday,20-24,4,1937-06-16
StellarWave A9,Thursday,12-16,88,1937-06-10
StellarWave A9,Friday,8-12,2,1937-06-04
Luminor Arc 65,Saturday,8-12,1,1937-05-29
Luminor Arc 65,Monday,16-20,1,1937-05-24
StellarWave A9,Saturday,0-8,289,1937-05-22
Luminor Arc 65,Thursday,20-24,0,1937-05-20
StellarWave A9,Wednesday,0-8,1,1937-05-19
StellarWave A9,Thursday,0-8,0,1937-05-13
StellarWave A9,Friday,20-24,298,1937-05-07
Luminor Arc 65,Friday,12-16,268,1937-04-30
StellarWave A9,Tuesday,20-24,241,1937-04-27
StellarWave A9,Saturday,16-20,1,1937-04-24
StellarWave A9,Thursday,0-8,0,1937-04-22
Luminor Arc 65,Saturday,20-24,2,1937-04-17
Luminor Arc 65,Friday,8-12,286,1937-04-16
StellarWave A9,Monday,0-8,1,1937-04-12
Luminor Arc 65,Thursday,20-24,1,1937-04-08
Luminor Arc 65,Thursday,20-24,2,1937-04-01
StellarWave A9,Tuesday,16-20,234,1937-03-30
Luminor Arc 65,Friday,12-16,270,1937-03-26
Luminor Arc 65,Thursday,0-8,0,1937-03-25
StellarWave A9,Sunday,0-8,255,1937-03-21
StellarWave A9,Monday,8-12,1,1937-03-15
StellarWave A9,Saturday,20-24,1,1937-03-13
StellarWave A9,Monday,0-8,1,1937-03-08
Luminor Arc 65,Thursday,12-16,267,1937-03-04
StellarWave A9,Tuesday,20-24,237,1937-03-02
Luminor Arc 65,Friday,16-20,3,1937-02-26
StellarWave A9,Sunday,0-8,250,1937-02-21
StellarWave A9,Sunday,8-12,214,1937-02-14
StellarWave A9,Monday,8-12,1,1937-02-08
Luminor Arc 65,Sunday,12-16,3,1937-02-07
StellarWave A9,Tuesday,12-16,68,1937-02-02
Luminor Arc 65,Friday,8-12,291,1937-01-29
Luminor Arc 65,Wednesday,0-8,0,1937-01-27
StellarWave A9,Tuesday,20-24,236,1937-01-26
Luminor Arc 65,Wednesday,20-24,0,1937-01-20
Luminor Arc 65,Thursday,16-20,3,1937-01-14
StellarWave A9,Tuesday,20-24,248,1937-01-12
Luminor Arc 65,Monday,20-24,2,1937-01-11
StellarWave A9,Friday,8-12,1,1937-01-08
StellarWave A9,Monday,20-24,239,1937-01-04
Luminor Arc 65,Thursday,12-16,239,1936-12-31
Luminor Arc 65,Tuesday,12-16,242,1936-12-29
Luminor Arc 65,Tuesday,16-20,2,1936-12-22
Luminor Arc 65,Monday,16-20,2,1936-12-21
StellarWave A9,Friday,16-20,225,1936-12-18
Luminor Arc 65,Thursday,12-16,268,1936-12-17
StellarWave A9,Monday,0-8,1,1936-12-14
StellarWave A9,Sunday,20-24,1,1936-12-13
Luminor Arc 65,Wednesday,20-24,0,1936-12-09
Luminor Arc 65,Tuesday,20-24,1,1936-12-08
StellarWave A9,Thursday,0-8,1,1936-12-03
Luminor Arc 65,Sunday,0-8,9,1936-11-29
StellarWave A9,Thursday,16-20,245,1936-11-26
Luminor Arc 65,Thursday,12-16,242,1936-11-19
Luminor Arc 65,Tuesday,0-8,1,1936-11-17
StellarWave A9,Thursday,20-24,278,1936-11-12
StellarWave A9,Thursday,16-20,222,1936-11-05
StellarWave A9,Monday,20-24,243,1936-11-02
StellarWave A9,Tuesday,12-16,49,1936-10-27
Luminor Arc 65,Sunday,16-20,0,1936-10-25
StellarWave A9,Thursday,0-8,1,1936-10-22
Luminor Arc 65,Thursday,0-8,1,1936-10-15
Luminor Arc 65,Friday,12-16,220,1936-10-09
Luminor Arc 65,Thursday,12-16,256,1936-10-08
StellarWave A9,Thursday,16-20,221,1936-10-01
StellarWave A9,Thursday,0-8,0,1936-09-24
Luminor Arc 65,Friday,16-20,0,1936-09-18
StellarWave A9,Friday,0-8,1,1936-09-11
StellarWave A9,Tuesday,12-16,68,1936-09-08
Luminor Arc 65,Saturday,16-20,0,1936-09-05
Luminor Arc 65,Sunday,0-8,1,1936-08-30
StellarWave A9,Saturday,0-8,278,1936-08-29
StellarWave A9,Friday,20-24,288,1936-08-28
Luminor Arc 65,Thursday,20-24,0,1936-08-27
StellarWave A9,Wednesday,16-20,216,1936-08-26
Luminor Arc 65,Monday,16-20,2,1936-08-24
StellarWave A9,Sunday,8-12,251,1936-08-23
StellarWave A9,Tuesday,12-16,71,1936-08-18
StellarWave A9,Wednesday,16-20,220,1936-08-12
StellarWave A9,Tuesday,16-20,196,1936-08-11
StellarWave A9,Wednesday,0-8,1,1936-08-05
Luminor Arc 65,Saturday,12-16,1,1936-08-01
Luminor Arc 65,Wednesday,16-20,1,1936-07-29
StellarWave A9,Saturday,0-8,290,1936-07-25
StellarWave A9,Wednesday,0-8,1,1936-07-22
Luminor Arc 65,Sunday,20-24,2,1936-07-19
Luminor Arc 65,Thursday,8-12,289,1936-07-16
Luminor Arc 65,Thursday,12-16,256,1936-07-09
Luminor Arc 65,Sunday,8-12,0,1936-07-05
StellarWave A9,Monday,0-8,2,1936-06-29
Luminor Arc 65,Friday,20-24,2,1936-06-26
StellarWave A9,Tuesday,8-12,3,1936-06-23
StellarWave A9,Tuesday,8-12,0,1936-06-16
Luminor Arc 65,Saturday,12-16,0,1936-06-13
Luminor Arc 65,Tuesday,8-12,246,1936-06-09
StellarWave A9,Tuesday,8-12,0,1936-06-02
StellarWave A9,Monday,8-12,1,1936-06-01
StellarWave A9,Monday,12-16,56,1936-05-25
Luminor Arc 65,Monday,12-16,229,1936-05-18
Luminor Arc 65,Saturday,16-20,1,1936-05-16
StellarWave A9,Monday,12-16,50,1936-05-11
StellarWave A9,Monday,8-12,0,1936-05-04
Luminor Arc 65,Wednesday,0-8,1,1936-04-29
Luminor Arc 65,Tuesday,12-16,217,1936-04-28
Luminor Arc 65,Tuesday,12-16,235,1936-04-21
Luminor Arc 65,Wednesday,12-16,253,1936-04-15
Luminor Arc 65,Thursday,0-8,0,1936-04-09
StellarWave A9,Friday,0-8,1,1936-04-03
StellarWave A9,Saturday,16-20,2,1936-03-28
StellarWave A9,Monday,12-16,77,1936-03-23
Luminor Arc 65,Monday,12-16,204,1936-03-16
Luminor Arc 65,Friday,0-8,2,1936-03-13
StellarWave A9,Wednesday,12-16,69,1936-03-11
StellarWave A9,Wednesday,12-16,74,1936-03-04
StellarWave A9,Wednesday,8-12,0,1936-02-26
Luminor Arc 65,Tuesday,20-24,0,1936-02-25
Luminor Arc 65,Monday,20-24,0,1936-02-24
Luminor Arc 65,Monday,20-24,1,1936-02-17
Luminor Arc 65,Sunday,20-24,0,1936-02-16
StellarWave A9,Sunday,16-20,2,1936-02-09
Luminor Arc 65,Tuesday,8-12,204,1936-02-04
Luminor Arc 65,Thursday,16-20,2,1936-01-30
StellarWave A9,Friday,20-24,256,1936-01-24
StellarWave A9,Thursday,0-8,2,1936-01-23
Luminor Arc 65,Friday,8-12,305,1936-01-17
Luminor Arc 65,Sunday,12-16,1,1936-01-12
Luminor Arc 65,Thursday,16-20,1,1936-01-09
Luminor Arc 65,Saturday,12-16,0,1936-01-04
Luminor Arc 65,Tuesday,0-8,1,1935-12-31
Luminor Arc 65,Friday,8-12,289,1935-12-27
StellarWave A9,Sunday,0-8,264,1935-12-22
Luminor Arc 65,Friday,0-8,0,1935-12-20
Luminor Arc 65,Saturday,8-12,1,1935-12-14
StellarWave A9,Wednesday,16-20,223,1935-12-11
Luminor Arc 65,Tuesday,0-8,0,1935-12-10
StellarWave A9,Saturday,8-12,245,1935-12-07
StellarWave A9,Wednesday,8-12,1,1935-12-04
StellarWave A9,Monday,20-24,241,1935-12-02
Luminor Arc 65,Wednesday,12-16,243,1935-11-27
Luminor Arc 65,Monday,12-16,198,1935-11-25
StellarWave A9,Thursday,20-24,269,1935-11-21
StellarWave A9,Tuesday,16-20,201,1935-11-19
StellarWave A9,Tuesday,0-8,0,1935-11-12
StellarWave A9,Thursday,16-20,236,1935-11-07
StellarWave A9,Wednesday,8-12,1,1935-11-06
Luminor Arc 65,Friday,0-8,6,1935-11-01
Luminor Arc 65,Sunday,8-12,0,1935-10-27
Luminor Arc 65,Tuesday,16-20,1,1935-10-22
StellarWave A9,Saturday,0-8,267,1935-10-19
Luminor Arc 65,Thursday,8-12,266,1935-10-17
Luminor Arc 65,Friday,8-12,287,1935-10-11
StellarWave A9,Friday,12-16,91,1935-10-04
Luminor Arc 65,Friday,12-16,278,1935-09-27
Luminor Arc 65,Saturday,16-20,0,1935-09-21
Luminor Arc 65,Thursday,8-12,266,1935-09-19
Luminor Arc 65,Wednesday,8-12,236,1935-09-18
StellarWave A9,Friday,16-20,228,1935-09-13
Luminor Arc 65,Tuesday,16-20,3,1935-09-10
Luminor Arc 65,Thursday,20-24,0,1935-09-05
Luminor Arc 65,Wednesday,16-20,0,1935-09-04
Luminor Arc 65,Wednesday,0-8,2,1935-08-28
StellarWave A9,Friday,12-16,111,1935-08-23
Luminor Arc 65,Monday,16-20,1,1935-08-19
Luminor Arc 65,Monday,16-20,1,1935-08-12
Luminor Arc 65,Thursday,12-16,255,1935-08-08
StellarWave A9,Thursday,16-20,216,1935-08-01
Luminor Arc 65,Monday,16-20,0,1935-07-29
Luminor Arc 65,Wednesday,8-12,267,1935-07-24
Luminor Arc 65,Friday,8-12,297,1935-07-19
StellarWave A9,Saturday,0-8,275,1935-07-13
Luminor Arc 65,Tuesday,16-20,1,1935-07-09
StellarWave A9,Monday,12-16,79,1935-07-08
StellarWave A9,Tuesday,16-20,209,1935-07-02
StellarWave A9,Thursday,16-20,229,1935-06-27
StellarWave A9,Tuesday,12-16,74,1935-06-25
Luminor Arc 65,Thursday,12-16,247,1935-06-20
StellarWave A9,Sunday,16-20,1,1935-06-16
StellarWave A9,Wednesday,0-8,1,1935-06-12
StellarWave A9,Wednesday,0-8,3,1935-06-05
StellarWave A9,Thursday,0-8,0,1935-05-30
StellarWave A9,Thursday,0-8,0,1935-05-23
Luminor Arc 65,Monday,0-8,1,1935-05-20
StellarWave A9,Monday,8-12,2,1935-05-13
StellarWave A9,Thursday,16-20,222,1935-05-09
Luminor Arc 65,Thursday,16-20,2,1935-05-02
StellarWave A9,Thursday,16-20,204,1935-04-25
StellarWave A9,Saturday,16-20,0,1935-04-20
StellarWave A9,Friday,0-8,1,1935-04-19
StellarWave A9,Tuesday,12-16,72,1935-04-16
Luminor Arc 65,Thursday,12-16,279,1935-04-11
Luminor Arc 65,Wednesday,16-20,1,1935-04-10
StellarWave A9,Saturday,0-8,245,1935-04-06
Luminor Arc 65,Tuesday,12-16,219,1935-04-02
StellarWave A9,Sunday,20-24,1,1935-03-31
StellarWave A9,Tuesday,12-16,51,1935-03-26
StellarWave A9,Wednesday,12-16,71,1935-03-20
StellarWave A9,Monday,16-20,188,1935-03-18
StellarWave A9,Friday,0-8,0,1935-03-15
Luminor Arc 65,Sunday,12-16,0,1935-03-10
Luminor Arc 65,Friday,20-24,0,1935-03-08
Luminor Arc 65,Monday,12-16,192,1935-03-04
StellarWave A9,Sunday,12-16,67,1935-03-03
StellarWave A9,Monday,16-20,188,1935-02-25
StellarWave A9,Friday,0-8,3,1935-02-22
Luminor Arc 65,Wednesday,16-20,2,1935-02-20
StellarWave A9,Sunday,12-16,84,1935-02-17
Luminor Arc 65,Friday,8-12,295,1935-02-15
Luminor Arc 65,Tuesday,16-20,0,1935-02-12
StellarWave A9,Friday,0-8,0,1935-02-08
Luminor Arc 65,Sunday,8-12,0,1935-02-03
Luminor Arc 65,Sunday,0-8,17,1935-01-27
Luminor Arc 65,Saturday,12-16,2,1935-01-26
StellarWave A9,Tuesday,12-16,59,1935-01-22
StellarWave A9,Wednesday,12-16,85,1935-01-16
Luminor Arc 65,Sunday,8-12,0,1935-01-13
StellarWave A9,Wednesday,0-8,0,1935-01-09
Luminor Arc 65,Saturday,16-20,1,1935-01-05
StellarWave A9,Wednesday,8-12,0,1935-01-02
Luminor Arc 65,Monday,8-12,263,1934-12-31
StellarWave A9,Thursday,12-16,89,1934-12-27
Luminor Arc 65,Friday,8-12,288,1934-12-21
Luminor Arc 65,Tuesday,16-20,0,1934-12-18
Luminor Arc 65,Saturday,8-12,1,1934-12-15
StellarWave A9,Wednesday,8-12,1,1934-12-12
Luminor Arc 65,Sunday,20-24,1,1934-12-09
Luminor Arc 65,Tuesday,20-24,0,1934-12-04
StellarWave A9,Wednesday,16-20,212,1934-11-28
Luminor Arc 65,Friday,12-16,241,1934-11-23
Luminor Arc 65,Sunday,8-12,0,1934-11-18
StellarWave A9,Wednesday,16-20,193,1934-11-14
StellarWave A9,Thursday,20-24,274,1934-11-08
Luminor Arc 65,Monday,0-8,1,1934-11-05
Luminor Arc 65,Thursday,8-12,283,1934-11-01
Luminor Arc 65,Sunday,8-12,0,1934-10-28
StellarWave A9,Friday,12-16,106,1934-10-26
Luminor Arc 65,Saturday,0-8,21,1934-10-20
StellarWave A9,Monday,12-16,69,1934-10-15
StellarWave A9,Thursday,0-8,1,1934-10-11
Luminor Arc 65,Friday,16-20,2,1934-10-05
Luminor Arc 65,Tuesday,20-24,0,1934-10-02
Luminor Arc 65,Thursday,20-24,0,1934-09-27
Luminor Arc 65,Friday,20-24,0,1934-09-21
StellarWave A9,Tuesday,0-8,0,1934-09-18
Luminor Arc 65,Monday,8-12,244,1934-09-17
Luminor Arc 65,Saturday,20-24,0,1934-09-15
StellarWave A9,Tuesday,20-24,237,1934-09-11
Luminor Arc 65,Saturday,20-24,1,1934-09-08
StellarWave A9,Tuesday,12-16,57,1934-09-04
Luminor Arc 65,Sunday,0-8,2,1934-09-02
StellarWave A9,Friday,16-20,230,1934-08-31
Luminor Arc 65,Sunday,16-20,1,1934-08-26
StellarWave A9,Thursday,16-20,233,1934-08-23
StellarWave A9,Saturday,8-12,226,1934-08-18
Luminor Arc 65,Wednesday,20-24,0,1934-08-15
StellarWave A9,Saturday,16-20,1,1934-08-11
Luminor Arc 65,Saturday,20-24,1,1934-08-04
StellarWave A9,Thursday,12-16,109,1934-08-02
Luminor Arc 65,Thursday,16-20,0,1934-07-26
StellarWave A9,Thursday,16-20,206,1934-07-19
Luminor Arc 65,Thursday,20-24,1,1934-07-12
Luminor Arc 65,Sunday,16-20,0,1934-07-08
Luminor Arc 65,Saturday,8-12,1,1934-07-07
StellarWave A9,Tuesday,8-12,2,1934-07-03
StellarWave A9,Monday,8-12,0,1934-07-02
StellarWave A9,Sunday,12-16,64,1934-07-01
StellarWave A9,Sunday,8-12,222,1934-06-24
StellarWave A9,Sunday,20-24,0,1934-06-17
Luminor Arc 65,Saturday,8-12,1,1934-06-16
Luminor Arc 65,Sunday,20-24,2,1934-06-10
StellarWave A9,Wednesday,16-20,219,1934-06-06
StellarWave A9,Tuesday,0-8,0,1934-06-05
Luminor Arc 65,Sunday,20-24,1,1934-06-03
StellarWave A9,Monday,0-8,3,1934-05-28
Luminor Arc 65,Saturday,12-16,2,1934-05-26
StellarWave A9,Wednesday,8-12,1,1934-05-23
StellarWave A9,Friday,16-20,239,1934-05-18
Luminor Arc 65,Thursday,8-12,307,1934-05-17
StellarWave A9,Friday,12-16,111,1934-05-11
StellarWave A9,Wednesday,16-20,204,1934-05-09
Luminor Arc 65,Monday,8-12,246,1934-05-07
Luminor Arc 65,Sunday,8-12,0,1934-05-06
Luminor Arc 65,Tuesday,12-16,234,1934-05-01
Luminor Arc 65,Wednesday,0-8,1,1934-04-25
StellarWave A9,Monday,0-8,0,1934-04-23
StellarWave A9,Wednesday,16-20,212,1934-04-18
StellarWave A9,Wednesday,16-20,221,1934-04-11
StellarWave A9,Tuesday,20-24,242,1934-04-10
Luminor Arc 65,Thursday,16-20,1,1934-04-05
StellarWave A9,Friday,12-16,108,1934-03-30
Luminor Arc 65,Saturday,8-12,2,1934-03-24
StellarWave A9,Friday,20-24,271,1934-03-23
StellarWave A9,Saturday,12-16,88,1934-03-17
StellarWave A9,Friday,0-8,3,1934-03-16
StellarWave A9,Friday,12-16,96,1934-03-09
Luminor Arc 65,Friday,8-12,286,1934-03-02
Luminor Arc 65,Friday,20-24,1,1934-02-23
StellarWave A9,Saturday,8-12,216,1934-02-17
Luminor Arc 65,Monday,16-20,4,1934-02-12
Luminor Arc 65,Tuesday,0-8,0,1934-02-06
StellarWave A9,Monday,0-8,4,1934-02-05
StellarWave A9,Monday,0-8,1,1934-01-29
Luminor Arc 65,Saturday,20-24,2,1934-01-27
StellarWave A9,Friday,20-24,282,1934-01-26
StellarWave A9,Friday,0-8,0,1934-01-19
Luminor Arc 65,Saturday,0-8,13,1934-01-13
Luminor Arc 65,Friday,12-16,251,1934-01-12
Luminor Arc 65,Friday,0-8,0,1934-01-05
Luminor Arc 65,Tuesday,16-20,2,1934-01-02
StellarWave A9,Monday,20-24,218,1934-01-01
StellarWave A9,Thursday,12-16,90,1933-12-28
Luminor Arc 65,Saturday,12-16,4,1933-12-23
StellarWave A9,Wednesday,0-8,0,1933-12-20
Luminor Arc 65,Tuesday,0-8,2,1933-12-19
StellarWave A9,Thursday,20-24,273,1933-12-14
Luminor Arc 65,Wednesday,0-8,0,1933-12-13
StellarWave A9,Tuesday,12-16,50,1933-12-12
StellarWave A9,Tuesday,16-20,211,1933-12-05
StellarWave A9,Tuesday,8-12,1,1933-11-28
StellarWave A9,Thursday,0-8,3,1933-11-23
Luminor Arc 65,Thursday,0-8,1,1933-11-16
StellarWave A9,Thursday,16-20,216,1933-11-09
Luminor Arc 65,Wednesday,12-16,257,1933-11-08
Luminor Arc 65,Sunday,12-16,0,1933-11-05
StellarWave A9,Sunday,8-12,202,1933-10-29
StellarWave A9,Tuesday,0-8,1,1933-10-24
StellarWave A9,Saturday,16-20,1,1933-10-21
StellarWave A9,Friday,12-16,81,1933-10-20
Luminor Arc 65,Friday,20-24,2,1933-10-13
Luminor Arc 65,Tuesday,16-20,0,1933-10-10
Luminor Arc 65,Wednesday,8-12,291,1933-10-04
Luminor Arc 65,Wednesday,8-12,291,1933-09-27
StellarWave A9,Monday,8-12,0,1933-09-25
Luminor Arc 65,Saturday,8-12,3,1933-09-23
StellarWave A9,Wednesday,20-24,235,1933-09-20
StellarWave A9,Wednesday,20-24,256,1933-09-13
Luminor Arc 65,Sunday,16-20,0,1933-09-10
StellarWave A9,Friday,20-24,286,1933-09-08
StellarWave A9,Thursday,12-16,87,1933-09-07
StellarWave A9,Monday,8-12,0,1933-09-04
StellarWave A9,Sunday,12-16,62,1933-09-03
Luminor Arc 65,Monday,20-24,0,1933-08-28
Luminor Arc 65,Thursday,12-16,263,1933-08-24
Luminor Arc 65,Monday,0-8,2,1933-08-21
StellarWave A9,Saturday,12-16,82,1933-08-19
Luminor Arc 65,Sunday,12-16,1,1933-08-13
StellarWave A9,Friday,20-24,288,1933-08-11
Luminor Arc 65,Thursday,0-8,1,1933-08-10
StellarWave A9,Monday,16-20,198,1933-08-07
StellarWave A9,Thursday,16-20,222,1933-08-03
StellarWave A9,Friday,8-12,6,1933-07-28
Luminor Arc 65,Saturday,0-8,4,1933-07-22
StellarWave A9,Wednesday,20-24,222,1933-07-19
StellarWave A9,Friday,20-24,294,1933-07-14
Luminor Arc 65,Wednesday,20-24,1,1933-07-12
Luminor Arc 65,Friday,20-24,2,1933-07-07
StellarWave A9,Sunday,0-8,245,1933-07-02
Luminor Arc 65,Friday,20-24,3,1933-06-30
StellarWave A9,Tuesday,20-24,228,1933-06-27
StellarWave A9,Tuesday,12-16,71,1933-06-20
Luminor Arc 65,Saturday,16-20,1,1933-06-17
StellarWave A9,Sunday,0-8,218,1933-06-11
Luminor Arc 65,Tuesday,16-20,1,1933-06-06
Luminor Arc 65,Friday,20-24,1,1933-06-02
Luminor Arc 65,Saturday,8-12,0,1933-05-27
Luminor Arc 65,Saturday,0-8,10,1933-05-20
StellarWave A9,Saturday,0-8,288,1933-05-13
StellarWave A9,Friday,8-12,18,1933-05-12
Luminor Arc 65,Friday,20-24,1,1933-05-05
StellarWave A9,Sunday,16-20,0,1933-04-30
StellarWave A9,Friday,16-20,221,1933-04-28
Luminor Arc 65,Wednesday,0-8,0,1933-04-26
StellarWave A9,Friday,8-12,0,1933-04-21
Luminor Arc 65,Tuesday,0-8,0,1933-04-18
Luminor Arc 65,Monday,8-12,275,1933-04-17
Luminor Arc 65,Monday,8-12,239,1933-04-10
StellarWave A9,Thursday,12-16,67,1933-04-06
StellarWave A9,Wednesday,0-8,4,1933-04-05
Luminor Arc 65,Friday,0-8,1,1933-03-31
Luminor Arc 65,Wednesday,12-16,265,1933-03-29
Luminor Arc 65,Tuesday,12-16,225,1933-03-28
StellarWave A9,Friday,0-8,1,1933-03-24
StellarWave A9,Friday,20-24,285,1933-03-17
Luminor Arc 65,Friday,12-16,268,1933-03-10
StellarWave A9,Monday,16-20,196,1933-03-06
StellarWave A9,Monday,20-24,231,1933-02-27
StellarWave A9,Saturday,12-16,74,1933-02-25
Luminor Arc 65,Monday,20-24,0,1933-02-20
Luminor Arc 65,Tuesday,16-20,1,1933-02-14
Luminor Arc 65,Saturday,20-24,2,1933-02-11
Luminor Arc 65,Tuesday,12-16,226,1933-02-07
StellarWave A9,Saturday,16-20,2,1933-02-04
Luminor Arc 65,Friday,0-8,2,1933-02-03
StellarWave A9,Tuesday,0-8,1,1933-01-31
Luminor Arc 65,Tuesday,16-20,2,1933-01-24
Luminor Arc 65,Friday,12-16,236,1933-01-20
Luminor Arc 65,Friday,16-20,1,1933-01-13
StellarWave A9,Thursday,8-12,3,1933-01-12
Luminor Arc 65,Friday,20-24,1,1933-01-06
Luminor Arc 65,Friday,0-8,0,1932-12-30
StellarWave A9,Thursday,8-12,1,1932-12-29
StellarWave A9,Tuesday,16-20,212,1932-12-27
Luminor Arc 65,Sunday,20-24,2,1932-12-25
StellarWave A9,Thursday,0-8,2,1932-12-22
Luminor Arc 65,Sunday,12-16,0,1932-12-18
Luminor Arc 65,Monday,8-12,255,1932-12-12
StellarWave A9,Sunday,0-8,260,1932-12-11
Luminor Arc 65,Sunday,8-12,0,1932-12-04
Luminor Arc 65,Monday,8-12,262,1932-11-28
Luminor Arc 65,Sunday,0-8,9,1932-11-27
StellarWave A9,Thursday,8-12,1,1932-11-24
StellarWave A9,Monday,0-8,0,1932-11-21
Luminor Arc 65,Thursday,20-24,0,1932-11-17
Luminor Arc 65,Sunday,20-24,1,1932-11-13
Luminor Arc 65,Friday,8-12,289,1932-11-11
StellarWave A9,Monday,12-16,72,1932-11-07
StellarWave A9,Sunday,12-16,77,1932-11-06
StellarWave A9,Thursday,20-24,250,1932-11-03
Luminor Arc 65,Wednesday,12-16,240,1932-11-02
Luminor Arc 65,Sunday,0-8,0,1932-10-30
StellarWave A9,Saturday,8-12,246,1932-10-29
Luminor Arc 65,Sunday,20-24,2,1932-10-23
Luminor Arc 65,Monday,0-8,1,1932-10-17
StellarWave A9,Sunday,8-12,202,1932-10-16
Luminor Arc 65,Tuesday,0-8,0,1932-10-11
Luminor Arc 65,Saturday,12-16,2,1932-10-08
Luminor Arc 65,Sunday,8-12,2,1932-10-02
StellarWave A9,Monday,16-20,196,1932-09-26
Luminor Arc 65,Sunday,0-8,2,1932-09-25
StellarWave A9,Tuesday,12-16,99,1932-09-20
Luminor Arc 65,Sunday,8-12,3,1932-09-18
StellarWave A9,Saturday,12-16,83,1932-09-17
Luminor Arc 65,Saturday,20-24,1,1932-09-10
StellarWave A9,Thursday,0-8,0,1932-09-08
StellarWave A9,Saturday,12-16,74,1932-09-03
Luminor Arc 65,Monday,20-24,2,1932-08-29
Luminor Arc 65,Sunday,8-12,0,1932-08-28
Luminor Arc 65,Saturday,0-8,20,1932-08-27
StellarWave A9,Thursday,16-20,232,1932-08-25
StellarWave A9,Friday,0-8,2,1932-08-19
StellarWave A9,Wednesday,20-24,284,1932-08-17
Luminor Arc 65,Saturday,0-8,8,1932-08-13
Luminor Arc 65,Saturday,16-20,3,1932-08-06
StellarWave A9,Wednesday,20-24,267,1932-08-03
StellarWave A9,Monday,16-20,187,1932-08-01
StellarWave A9,Friday,8-12,1,1932-07-29
StellarWave A9,Tuesday,20-24,277,1932-07-26
Luminor Arc 65,Saturday,12-16,1,1932-07-23
Luminor Arc 65,Sunday,0-8,1,1932-07-17
StellarWave A9,Friday,12-16,89,1932-07-15
Luminor Arc 65,Tuesday,12-16,229,1932-07-12
Luminor Arc 65,Friday,8-12,331,1932-07-08
Luminor Arc 65,Saturday,20-24,0,1932-07-02
Luminor Arc 65,Thursday,8-12,268,1932-06-30
Luminor Arc 65,Thursday,12-16,248,1932-06-23
Luminor Arc 65,Saturday,12-16,7,1932-06-18
StellarWave A9,Monday,0-8,0,1932-06-13
Luminor Arc 65,Wednesday,0-8,0,1932-06-08
Luminor Arc 65,Monday,12-16,193,1932-06-06
Luminor Arc 65,Thursday,0-8,1,1932-06-02
Luminor Arc 65,Wednesday,16-20,0,1932-06-01
StellarWave A9,Thursday,16-20,243,1932-05-26
StellarWave A9,Monday,8-12,2,1932-05-23
Luminor Arc 65,Tuesday,8-12,236,1932-05-17
StellarWave A9,Sunday,20-24,0,1932-05-15
Luminor Arc 65,Friday,16-20,1,1932-05-13
StellarWave A9,Wednesday,12-16,65,1932-05-11
Luminor Arc 65,Saturday,0-8,1,1932-05-07
StellarWave A9,Sunday,12-16,73,1932-05-01
StellarWave A9,Thursday,20-24,254,1932-04-28
Luminor Arc 65,Sunday,20-24,1,1932-04-24
StellarWave A9,Wednesday,12-16,85,1932-04-20
StellarWave A9,Friday,0-8,2,1932-04-15
Luminor Arc 65,Sunday,12-16,1,1932-04-10
StellarWave A9,Thursday,16-20,249,1932-04-07
Luminor Arc 65,Tuesday,12-16,228,1932-04-05
Luminor Arc 65,Saturday,20-24,2,1932-04-02
StellarWave A9,Saturday,0-8,262,1932-03-26
Luminor Arc 65,Sunday,12-16,0,1932-03-20
Luminor Arc 65,Friday,8-12,283,1932-03-18
Luminor Arc 65,Friday,0-8,1,1932-03-11
Luminor Arc 65,Saturday,20-24,0,1932-03-05
Luminor Arc 65,Monday,12-16,231,1932-02-29
Luminor Arc 65,Friday,12-16,267,1932-02-26
StellarWave A9,Wednesday,0-8,1,1932-02-24
Luminor Arc 65,Thursday,20-24,0,1932-02-18
Luminor Arc 65,Friday,12-16,267,1932-02-12
StellarWave A9,Friday,12-16,102,1932-02-05
StellarWave A9,Saturday,12-16,64,1932-01-30
Luminor Arc 65,Tuesday,8-12,269,1932-01-26
StellarWave A9,Thursday,20-24,249,1932-01-21
Luminor Arc 65,Friday,0-8,0,1932-01-15
StellarWave A9,Tuesday,0-8,1,1932-01-12
Luminor Arc 65,Monday,0-8,1,1932-01-11
StellarWave A9,Sunday,12-16,73,1932-01-10
